Area,Toxins(lbs.),Latitude,Longitude
Alaska,834000000,64.84507996,-147.722059
Wyoming,18300000,43.23554134,-108.1098304
Vermont,500000,43.62538124,-72.51764079
South Dakota,6200000,44.35313005,-100.3735306
North Dakota,42000000,47.47531978,-100.118421
Delaware,4000000,39.00883067,-75.57774117
Utah,273000000,39.36070017,-111.5871306
Rhode Island,560000,41.70828019,-71.52247031
New Hampshire,290000,43.65595011,-71.50036092
Nebraska,18900000,41.64104099,-99.36572062
Montana,34500000,47.06652897,-109.4244206
Hawaii,3000000,21.30485044,-157.8577494
Idaho,47000000,43.68263001,-114.36373
West Virginia,32300000,38.6655102,-80.71264013
Alabama,85400000,32.84057112,-86.63186076
Arkansas,31500000,34.74865012,-92.27449074
Colorado,32700000,38.84384076,-106.1336109
Connecticut,2000000,41.56266102,-72.64984095
South Carolina,35000000,33.9988213,-81.04537121
Oregon,24700000,44.56744942,-120.1550313
Oklahoma,30300000,35.47203136,-97.52107021
New Mexico,19500000,34.52088095,-106.240581
Nevada,317000000,39.49324039,-117.0718406
Maine,9600000,45.25422889,-68.98503134
Louisiana,147000000,31.31266064,-92.44568007
Mississippi,57100000,32.7455101,-89.53803082
Kansas,19300000,38.3477403,-98.20078123
Kentucky,55200000,37.64597027,-84.77497105
Iowa,31400000,42.46940091,-93.81649056
Wisconsin,32000000,44.39319117,-89.81637074
Arizona,86000000,34.86597028,-111.7638113
California,45400000,37.63864012,-120.9999995
Texas,210000000,31.82724041,-99.42677021
Tennessee,82300000,35.68094058,-85.77449091
Pennsylvania,56900000,40.79373015,-77.86070029
Ohio,104000000,40.06021014,-82.40426006
Virginia,44000000,37.54268067,-78.45789046
Washington,35200000,47.52227863,-120.4700108
North Carolina,56000000,35.46622098,-79.15925046
New York,16900000,42.82700103,-75.54397043
New Jersey,14600000,40.13057005,-74.27369129
Massachusetts,4500000,42.27687047,-72.08269067
Michigan,72300000,44.66131954,-84.71439027
Maryland,10000000,39.29058096,-76.60926011
Minnesota,26700000,46.35564874,-94.7942005
Missouri,68000000,38.63579078,-92.56630005
Illinois,112000000,40.48501028,-88.99771018
Indiana,133000000,39.76691045,-86.14996019
Georgia,55000000,32.83968109,-83.62758035
Florida,64300000,28.93204038,-81.92896054
