Area;CancerType;Year;Sex;AgeAdjustedRate;DeathCount;Population;Longitude;Latitude
Wyoming;Lung and Bronchus;2011-2015;Male and Female;35.3;1114;2897371;;
District of Columbia;Lung and Bronchus;2011-2015;Male and Female;38.9;1184;3234351;;
Alaska;Lung and Bronchus;2011-2015;Male and Female;46;1294;3665095;;
Vermont;Lung and Bronchus;2011-2015;Male and Female;44.7;1821;3133386;;
South Dakota;Lung and Bronchus;2011-2015;Male and Female;42.9;2180;4214241;;
North Dakota;Lung and Bronchus;2011-2015;Male and Female;39.5;1640;3608321;;
Delaware;Lung and Bronchus;2011-2015;Male and Female;48.8;2800;4629336;;
Utah;Lung and Bronchus;2011-2015;Male and Female;19.5;2253;14507037;;
Rhode Island;Lung and Bronchus;2011-2015;Male and Female;48.3;3163;5268472;;
New Mexico;Lung and Bronchus;2011-2015;Male and Female;30.6;3683;10410085;;
New Hampshire;Lung and Bronchus;2011-2015;Male and Female;45.6;3741;6621196;;
Montana;Lung and Bronchus;2011-2015;Male and Female;41.1;2667;5072271;;
Idaho;Lung and Bronchus;2011-2015;Male and Female;36.1;3175;8078425;;
Hawaii;Lung and Bronchus;2011-2015;Male and Female;31.6;2748;7017671;;
West Virginia;Lung and Bronchus;2011-2015;Male and Female;58.8;7410;9254330;;
Arizona;Lung and Bronchus;2011-2015;Male and Female;35.3;13890;33178972;;
Arkansas;Lung and Bronchus;2011-2015;Male and Female;59;10588;14793606;;
Colorado;Lung and Bronchus;2011-2015;Male and Female;30.2;7868;26374297;;
Connecticut;Lung and Bronchus;2011-2015;Male and Female;37.5;8274;17956294;;
Oregon;Lung and Bronchus;2011-2015;Male and Female;42.3;10113;19685903;;
Oklahoma;Lung and Bronchus;2011-2015;Male and Female;55.7;12203;19240656;;
Nevada;Lung and Bronchus;2011-2015;Male and Female;45.4;6713;13974179;;
Nebraska;Lung and Bronchus;2011-2015;Male and Female;42.2;4483;9341477;;
Minnesota;Lung and Bronchus;2011-2015;Male and Female;38.8;11923;27082912;;
Mississippi;Lung and Bronchus;2011-2015;Male and Female;57.4;9664;14935379;;
Maryland;Lung and Bronchus;2011-2015;Male and Female;41.5;13435;29626661;;
Maine;Lung and Bronchus;2011-2015;Male and Female;51.6;4798;6646374;;
Louisiana;Lung and Bronchus;2011-2015;Male and Female;53.6;13503;23122075;;
Iowa;Lung and Bronchus;2011-2015;Male and Female;45.6;8746;15463490;;
Kansas;Lung and Bronchus;2011-2015;Male and Female;45.9;7546;14453667;;
Wisconsin;Lung and Bronchus;2011-2015;Male and Female;43;14808;28704939;;
Alabama;Lung and Bronchus;2011-2015;Male and Female;53.4;15490;24142446;;
California;Lung and Bronchus;2011-2015;Male and Female;32.2;62372;191697888;;
Florida;Lung and Bronchus;2011-2015;Male and Female;42.4;59401;98156785;;
Washington;Lung and Bronchus;2011-2015;Male and Female;40.6;15414;34900238;;
Virginia;Lung and Bronchus;2011-2015;Male and Female;44;19692;41249734;;
South Carolina;Lung and Bronchus;2011-2015;Male and Female;48.8;14029;23884555;;
Tennessee;Lung and Bronchus;2011-2015;Male and Female;57;21784;32486480;;
Texas;Lung and Bronchus;2011-2015;Male and Female;39;47522;132565959;;
Pennsylvania;Lung and Bronchus;2011-2015;Male and Female;45.2;37772;63879954;;
Ohio;Lung and Bronchus;2011-2015;Male and Female;51.7;36534;57865183;;
New York;Lung and Bronchus;2011-2015;Male and Female;38.9;44453;98261542;;
North Carolina;Lung and Bronchus;2011-2015;Male and Female;49;27579;49208313;;
New Jersey;Lung and Bronchus;2011-2015;Male and Female;38.3;19901;44474038;;
Missouri;Lung and Bronchus;2011-2015;Male and Female;54.1;19679;30215977;;
Michigan;Lung and Bronchus;2011-2015;Male and Female;48.5;29138;49495915;;
Massachusetts;Lung and Bronchus;2011-2015;Male and Female;42.1;16744;33510868;;
Kentucky;Lung and Bronchus;2011-2015;Male and Female;67.7;17418;21992298;;
Indiana;Lung and Bronchus;2011-2015;Male and Female;53.4;19794;32831326;;
Illinois;Lung and Bronchus;2011-2015;Male and Female;46.3;32882;64316906;;
Georgia;Lung and Bronchus;2011-2015;Male and Female;46.2;22770;49997845;;
