STAID,STATE,FIPS,LAT_DMS , LON_DMS,WELLDPTH  ,SAMPDATE ,SAMPTIME,AS_RMRK,AS_CONC,LAT_DD,LON_DD
16S,2S,6N,6S,7S,10N,9S,5S,1S,10N,12N,12N
1.82113E+14,VI,78020,182113,644519,100,31-Aug-92,1020,<,1,18.35361,64.75528
1.82109E+14,VI,78020,182109,644603,60,26-Aug-92,1130,<,1,18.3525,64.7675
1.80859E+14,PR,72069,180859,654741,,7-Jul-82,940,<,1,18.14972,65.79472
1.80339E+14,PR,72151,180339,655233,120,7-Jul-82,1645,<,1,18.06083,65.87583
1.75836E+14,PR,72015,175836,660214,,12-Aug-86,1545,<,1,17.97667,66.03722
1.82432E+14,PR,72127,182432,660233,,19-May-86,1740,.,1,18.40889,66.0425
1.82505E+14,PR,72127,182506,660308,205,15-Jul-82,1040,.,2,18.41833,66.05222
1.75944E+14,PR,72015,175944,660337,40,12-Aug-86,1700,.,1,17.99556,66.06028
1.82637E+14,PR,72127,182637,660422,,4-Feb-88,1124,<,1,18.44361,66.07278
1.82533E+14,PR,72061,182533,660645,,2-May-86,1040,<,1,18.42583,66.1125
1.75754E+14,PR,72057,175754,660722,,12-Aug-86,1400,<,1,17.965,66.12278
1.80708E+14,PR,72035,180708,660842,200,8-Jul-82,1140,.,1,18.11889,66.145
1.75738E+14,PR,72057,175738,660845,58,24-Jun-82,1330,.,1,17.96055,66.14584
1.75732E+14,PR,72057,175732,660919,,13-Aug-86,1300,<,1,17.95889,66.15528
1.8263E+14,PR,72137,182630,661223,,15-Oct-87,1200,.,3,18.44167,66.20639
1.75824E+14,PR,72123,175824,661310,,14-Aug-86,730,<,1,17.97333,66.21944
1.75812E+14,PR,72123,175812,661332,,13-Aug-86,1200,<,1,17.97,66.22556
1.75822E+14,PR,72123,175822,661348,118,9-Aug-86,1000,<,1,17.97278,66.23
1.80208E+14,PR,72123,180208,661356,,27-Dec-88,1200,<,1,18.03555,66.23222
1.80217E+14,PR,72123,180217,661419,52,27-Dec-88,1030,<,1,18.03806,66.23861
1.75848E+14,PR,72123,175848,661458,,8-Aug-86,1215,<,1,17.98,66.24944
1.80054E+14,PR,72123,180054,661528,,7-Aug-86,1620,<,1,18.015,66.25777
1.82554E+14,PR,72051,182554,661529,160,23-Mar-92,1000,.,1,18.43167,66.25806
1.82724E+14,PR,72051,182724,661551,,25-Mar-92,900,<,1,18.45667,66.26417
1.82446E+14,PR,72051,182446,661555,,6-Dec-82,1325,.,1,18.41278,66.26527
1.82636E+14,PR,72051,182636,661641,200,9-Jul-82,1245,.,1,18.44333,66.27805
1.82707E+14,PR,72051,182707,661641,86,30-Mar-92,900,<,1,18.45195,66.27805
1.82423E+14,PR,72051,182423,661650,150,3-Apr-92,1038,<,1,18.40639,66.28056
1.82746E+14,PR,72051,182746,661708,,31-Mar-92,1230,<,1,18.46278,66.28555
1.82723E+14,PR,72051,182723,661724,,19-Mar-92,1300,<,1,18.45639,66.29
1.82804E+14,PR,72051,182804,661735,98,20-Mar-92,1300,.,4,18.46778,66.29305
1.8254E+14,PR,72051,182540,661741,150,25-Mar-92,1132,<,1,18.42778,66.29472
1.75816E+14,PR,72123,175816,661832,,7-Aug-86,1100,<,1,17.97111,66.30889
1.82314E+14,PR,72143,182314,661857,540,1-May-84,1130,.,1,18.38722,66.31583
1.82515E+14,PR,72143,182515,661940,260,9-Jul-82,1015,.,1,18.42083,66.32777
1.82517E+14,PR,72143,182517,661943,,1-Dec-86,1030,<,1,18.42139,66.32861
1.80219E+14,PR,72043,180219,662225,,28-Mar-84,1100,.,6,18.03861,66.37361
1.75802E+14,PR,72133,175802,662417,,10-Apr-86,925,<,1,17.96722,66.40472
1.82657E+14,PR,72145,182657,662506,,30-Nov-82,1400,.,1,18.44917,66.41833
1.82743E+14,PR,72145,182743,662522,,8-May-89,1230,<,1,18.46194,66.42278
1.82633E+14,PR,72091,182633,662626,,1-Jul-86,1300,<,1,18.4425,66.44055
1.82004E+14,PR,72101,182004,662638,,9-Dec-82,900,<,1,18.33444,66.44389
1.7595E+14,PR,72075,175950,662639,,9-Apr-87,1630,<,1,17.99722,66.44417
1.82815E+14,PR,72145,182815,662730,,19-Mar-86,1530,<,1,18.47084,66.45834
1.82623E+14,PR,72091,182623,662732,215,2-Jul-82,800,.,1,18.43972,66.45889
1.82629E+14,PR,72091,182629,662808,,20-Mar-89,1200,<,1,18.44139,66.46889
1.82734E+14,PR,72091,182734,662809,,10-Jan-90,1145,<,1,18.45945,66.46917
1.82732E+14,PR,72091,182732,662813,,16-Jan-90,1130,<,1,18.45889,66.47028
1.82624E+14,PR,72091,182624,662814,,17-Jan-90,1230,<,1,18.44,66.47056
1.82658E+14,PR,72091,182658,662839,,18-Jun-90,1000,<,1,18.44944,66.4775
1.82019E+14,PR,72019,182019,662853,,9-Dec-82,1330,.,1,18.33861,66.48139
1.82218E+14,PR,72019,182218,662910,,16-Dec-82,1430,.,1,18.37167,66.48611
